TYPE,SOURCE,DESTINATION,WEIGHT
V,Rumah,,
V,Sekolah,,
V,Kampus,,
V,Pasar,,
V,Toko,,
V,Supermarket,,
V,Taman,,
V,Perpustakaan,,
V,Stasiun,,
V,Terminal,,
V,Restoran,,
V,Bank,,
V,Kantor Pos,,
V,Apotek,,
E,Rumah,Sekolah,7
E,Sekolah,Kampus,11
E,Kampus,Pasar,6
E,Pasar,Toko,9
E,Toko,Supermarket,4
E,Supermarket,Taman,13
E,Taman,Perpustakaan,8
E,Perpustakaan,Stasiun,12
E,Stasiun,Terminal,5
E,Terminal,Restoran,16
E,Restoran,Bank,10
E,Bank,Kantor Pos,3
E,Kantor Pos,Apotek,14
E,Rumah,Kampus,4
E,Rumah,Pasar,13
E,Kampus,Taman,10
E,Sekolah,Terminal,17
E,Pasar,Stasiun,7
E,Toko,Restoran,19
E,Supermarket,Apotek,11
E,Perpustakaan,Rumah,8
E,Terminal,Pasar,6
E,Restoran,Kantor Pos,12
E,Bank,Apotek,2
E,Kantor Pos,Supermarket,16
